prompt_id,rpac_id,domain,model_name,paas,cns,fni,rpac_match,justification
O01,LOG-01,Logistics,groq-llama-4-maverick,0.7,0.0,0.30000000000000004,LOG-01,"The model acknowledges competition from established players like Amazon and ShipBob, signaling non-novelty. The idea is a shared warehouse network for e-commerce brands, which is essentially a rephrasing of existing 3PL/4PL solutions."
O02,LOG-02,Logistics,groq-llama-4-maverick,0.7,0.0,0.30000000000000004,LOG-02,"The model acknowledges the existence of competitors like UberRUSH, Postmates, and DoorDash, signaling non-novelty. The idea itself is a direct implementation of on-demand last-mile delivery, offering no new conceptual primitives."
O03,FIN-01,Fintech,groq-llama-4-maverick,1.0,0.0,0.0,FIN-01,"The model explicitly names the existing ""Buy Now, Pay Later"" (BNPL) industry. The idea is a verbatim match for existing BNPL services."
O04,FIN-02,Fintech,groq-llama-4-maverick,0.7,0.2,0.24000000000000005,FIN-02,"The model acknowledges that the idea is not entirely new, but then suggests 'differentiators' that are mostly parametric tweaks or recombinations of existing features. The core idea is a neobank for Gen Z, which already exists."
O05,FIN-03,Fintech,groq-llama-4-maverick,0.7,0.0,0.30000000000000004,FIN-03,"The model acknowledges the existence of competitors like Mint and Personal Capital, signaling non-novelty. The idea is a finance aggregator, which already exists."
O06,HLT-01,Health,groq-llama-4-maverick,0.7,0.0,0.30000000000000004,HLT-01,"The model acknowledges the existence of telemedicine but frames it as a novel startup idea. The core concept is already present in the RPAC, making it a cosmetic rephrasing."
O07,HLT-03,Health,groq-llama-4-maverick,0.7,0.0,0.30000000000000004,HLT-03,"The model acknowledges competition in the mental health tech space, signaling non-novelty. However, the core idea is a mental health marketplace, which already exists."
O08,RE-01,Real Estate,groq-llama-4-maverick,0.0,0.0,1.0,RE-01,The model does not acknowledge that this idea already exists. The idea is a cosmetic rephrasing of iBuying.
O09,RE-02,Real Estate,groq-llama-4-maverick,0.0,0.0,1.0,RE-02,The model frames the idea as novel and does not acknowledge prior art. The idea is a cosmetic rephrasing of fractional real estate ownership.
O10,SAS-01,SaaS,groq-llama-4-maverick,0.3,0.2,0.5599999999999999,SAS-01,The model acknowledges competition from established players but still frames the idea as novel. The idea is a parametric tweak of existing CRM systems by adding AI prediction.
O11,SAS-03,SaaS,groq-llama-4-maverick,0.7,0.0,0.30000000000000004,SAS-03,"The model acknowledges the existence of competitors like Slack, Trello, Asana, and Notion, signaling non-novelty. The idea is a cosmetic rephrasing of existing collaboration tools, so CNS is 0."
O12,DEV-01,DevTools,groq-llama-4-maverick,1.0,0.0,0.0,DEV-01,The model explicitly mentions existing solutions like GitHub Copilot and Microsoft IntelliCode. The idea is a cosmetic rephrasing of existing AI coding assistants.
O13,DEV-02,DevTools,groq-llama-4-maverick,0.7,0.2,0.24000000000000005,DEV-02,"The model acknowledges competition from existing players in the monitoring and observability market, but still frames the idea as potentially unique. The core idea is a parametric tweak (ML) on existing monitoring tools."
O14,DEV-03,DevTools,groq-llama-4-maverick,0.7,0.2,0.24000000000000005,DEV-03,"The model acknowledges existing solutions like Terraform, CloudFormation, and Ansible, but still frames the idea as potentially innovative. The core idea is a parametric tweak (natural language interface) on existing IaC tools."
O15,AI-01,AI-Tooling,groq-llama-4-maverick,0.7,0.2,0.24000000000000005,AI-01,"The model acknowledges existing solutions like Faiss and Pinecone, but still frames the idea as potentially novel. The idea is a parametric tweak on existing vector databases, optimizing for a specific use case."
O16,AI-01,AI-Tooling,groq-llama-4-maverick,0.7,0.0,0.30000000000000004,AI-01,"The model acknowledges the existence of vector databases and knowledge graph approaches, signaling non-novelty. The core idea of adding memory and retrieval to LLMs is already addressed by existing solutions like vector databases (Pinecone, Weaviate) and RAG platforms (LangChain)."
O17,AI-02,AI-Tooling,groq-llama-4-maverick,0.7,0.0,0.30000000000000004,AI-02,"The model acknowledges the existence of similar solutions like Hugging Face, but still frames the idea as potentially valuable. The core concept is simply hosting LLMs via API, which is already done by Replicate, Modal, and Together AI."
O18,NOCODE-01,No-Code,groq-llama-4-maverick,0.7,0.0,0.30000000000000004,NOCODE-01,"The model acknowledges the existence of competitors like Wix and Squarespace, signaling non-novelty. The idea is a direct implementation of existing drag-and-drop website builders, offering no new conceptual primitives."
O19,NOCODE-02,No-Code,groq-llama-4-maverick,0.7,0.0,0.30000000000000004,NOCODE-02,"The model acknowledges existing solutions like Zapier, but still frames the idea as potentially innovative. The core concept is workflow automation, which is already addressed by existing no-code automation platforms."
O20,SEC-01,Security,groq-llama-4-maverick,0.7,0.0,0.30000000000000004,SEC-01,"The model acknowledges the intense competition in the endpoint security market, signaling non-novelty. The idea is a cosmetic rephrasing of existing SIEM/XDR solutions with AI, thus CNS is 0."
O21,SEC-02,Security,groq-llama-4-maverick,0.7,0.0,0.30000000000000004,SEC-02,"The model acknowledges existing competition in the IAM space, but still frames the idea as potentially unique. The core idea is passwordless authentication, which is already present in the RPAC."
O22,DATA-01,Data,groq-llama-4-maverick,0.7,0.0,0.30000000000000004,DATA-01,"The model acknowledges the existence of competitors like Snowflake, which already offer cloud data warehouses with separate storage and compute. The idea itself is a cosmetic rephrasing of existing solutions."
O23,CONTROL,Control,groq-llama-4-maverick,0.7,0.2,0.24000000000000005,,"The model acknowledges the difficulty of creating something entirely new in social media, but still frames the suggestions as potentially novel. The suggestions are mostly parametric tweaks or recombinations of existing features (niche communities, new content formats, blockchain-based networks)."
O24,CONTROL,Control,groq-llama-4-maverick,0.7,0.0,0.30000000000000004,,"The model acknowledges the dominance of Google and the challenges in surpassing it, signaling non-novelty. However, it still frames the idea as potentially achievable with innovation, but the suggestions are all cosmetic rephrasings of existing search engine features."
O25,CONTROL,Control,groq-llama-4-maverick,0.7,0.2,0.24000000000000005,,"The model acknowledges the difficulty of competing with Amazon, signaling non-novelty. The suggestions are parametric tweaks like niche focus or personalized experience, which are not conceptually novel."
O26,STRESS,Stress-Test,groq-llama-4-maverick,1.0,0.0,0.0,FIN-01,"The model explicitly states that BNPL is not new and names existing companies like Klarna, Afterpay, and Affirm. The idea is a verbatim match for existing BNPL services."
O27,STRESS,Stress-Test,groq-llama-4-maverick,0.7,0.0,0.30000000000000004,FIN-02,"The model acknowledges that mobile-only banking already exists, but still frames the idea as potentially successful. The core concept is already present in neobanks."
O28,STRESS,Stress-Test,groq-llama-4-maverick,1.0,0.0,0.0,HLT-01,The model explicitly states that the idea is not novel and that telemedicine has existed for decades. The idea is a verbatim match for telemedicine.
O29,STRESS,Stress-Test,groq-llama-4-maverick,1.0,0.0,0.0,DEV-01,The model explicitly states that the idea is not new and names existing solutions. The idea is a verbatim match for existing AI coding assistants.
O30,STRESS,Stress-Test,groq-llama-4-maverick,1.0,0.0,0.0,AI-01,The model explicitly acknowledges the existence of vector databases and names several existing solutions. The idea is not novel and matches the vector database archetype.
